age,gender,place_type,hobby,climate,health_issues,selected_place
56,male,"['Beach', 'Scenic']",['Photography'],Tropical,[],Dickwella Beach
79,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Abhayagiri Dagoba
34,female,"['Beach', 'Snorkeling']",['Swimming'],Tropical,[],Unawatuna Beach
62,female,['Scenic'],['Photography'],Tropical,[],Kandy View Point
64,female,"['Beach', 'Scenic']",['Photography'],Tropical,[],Dickwella Beach
59,female,"['Religious', 'Historical']",['Cultural Exploration'],Cool,[],Seetha Amman Temple
25,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Sela Cetiya
13,female,"['Museum', 'Historical']",['History'],Tropical,[],Kandy National Museum
75,female,"['Beach', 'Eco-Tourism']",['Conservation'],Tropical,[],Rekawa Beach
54,female,"['Beach', 'Photography']",['Instagram'],Tropical,[],Dalawella Beach
8,female,"['Nature', 'Garden']",['Nature Walks'],Cool,[],Hakgala Botanical Garden
66,female,"['Beach', 'Cultural']",['Walking'],Tropical,[],Koggala Beach
66,female,"['Agriculture', 'Food']",['Food Tasting'],Cool,[],Nuwara Eliya Strawberry Farms
30,male,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
49,male,"['Nature', 'Waterfall']",['Photography'],Cool,['Mobility Issues'],Ramboda Falls
67,male,"['Scenic', 'Viewpoint']",['Photography'],Cool,[],Nuwara Eliya Golf Course View Point
9,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
38,male,['Historical'],['Sightseeing'],Tropical,[],Commonwealth War Cemetery
48,female,"['Historical', 'Scenic']",['Bird Watching'],Tropical,[],Tissa Wewa
18,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,"['Knee Pain', 'Back Pain']",Isurumuniya Temple
55,male,"['Shopping', 'Entertainment']",['Dining'],Tropical,[],Kandy City Center
27,male,"['Beach', 'Scenic']",['Relaxation'],Tropical,[],Dickwella Beach
75,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Mirisaweti Stupa
10,female,"['Religious', 'Historical']",['Walking'],Tropical,[],Mirisaweti Stupa
79,female,"['Scenic', 'Relaxation']",['Boating'],Cool,[],Gregory Lake
7,male,"['Nature', 'Waterfall']",['Photography'],Cool,[],St. Clair's Falls
55,female,"['Religious', 'Scenic']",['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
56,male,"['Scenic', 'Relaxation']",['Photography'],Cool,[],Gregory Lake
43,female,"['Beach', 'Adventure']",['Hiking'],Tropical,[],Jungle Beach
63,male,"['Beach', 'Snorkeling']",['Relaxation'],Tropical,['Non-swimmers (deep areas)'],Unawatuna Beach
5,male,"['Beach', 'Snorkeling']",['Relaxation'],Tropical,[],Unawatuna Beach
36,male,"['Scenic', 'Viewpoint']",['Hiking'],Cool,"['Heart Conditions', 'Mobility Issues']",Single Tree Hill
42,female,"['Nature', 'Wildlife']",['Nature Exploration'],Cool,[],Moon Plains
